Stock,Avg V,Price,Call,Call time,Earnings Date,Earnings Time,Avg ch %,Sector,Industry
ADBE,"3,075,030",552.16,-,-,2023-09-14,After Close,4.7,Technology,Software - Infrastructure
ADI,"3,361,990",179.67,-,-,2023-08-23,Before Market Open,-,Technology,Semiconductors
ADM,"2,771,500",80.65,-,-,2023-07-25,Before Market Open,4.1,Consumer Defensive,Farm Products
ADP,"1,554,260",248.29,-,-,2023-07-26,Before Market Open,2.8,Industrials,Staffing & Employment Services
ADSK,"1,463,770",216.67,-,-,2023-08-23,After Close,5.7,Technology,Software - Application
ADT,"2,598,670",5.88,-,-,2023-08-08,Before Market Open,-,Industrials,Security & Protection Services
AEE,"1,249,020",81.04,-,-,2023-08-02,After Close,1.3,Utilities,Utilities - Regulated Electric
AEM,"2,022,590",48.09,-,-,2023-07-26,After Close,4.9,Basic Materials,Gold
AEO,"4,430,490",15.30,-,-,2023-09-06,After Close,-,Consumer Cyclical,Apparel Retail
AEP,"3,192,320",80.60,-,-,2023-07-27,Before Market Open,1.4,Utilities,Utilities - Regulated Electric
AER,"1,188,870",61.58,-,-,2023-07-31,Before Market Open,2.6,Industrials,Rental & Leasing Services
AFL,"2,219,860",77.31,-,-,2023-08-01,After Close,-,Financial,Insurance - Life
AGCO,"583,500",122.80,-,-,2023-07-27,Before Market Open,-,Industrials,Farm & Heavy Construction Machinery
AGIO,"396,190",26.88,-,-,2023-08-03,Before Market Open,-,Healthcare,Biotechnology
AGO,"232,410",61.44,-,-,2023-08-08,After Close,-,Financial,Insurance - Specialty
AGR,"686,960",34.96,-,-,2023-07-26,After Close,-,Utilities,Utilities - Regulated Electric
AIG,"3,183,760",61.20,-,-,2023-08-01,After Close,4.3,Financial,Insurance - Diversified
AIV,"1,040,220",7.37,-,-,2023-08-07,After Close,-,Real Estate,REIT - Residential
AJG,"750,260",231.45,-,-,2023-07-27,After Close,2.6,Financial,Insurance Brokers
AKAM,"1,571,320",105.52,-,-,2023-08-08,After Close,9,Technology,Software - Infrastructure
AL,"635,960",39.36,-,-,2023-08-03,After Close,3.3,Industrials,Rental & Leasing Services
ALB,"1,773,010",184.97,-,-,2023-08-02,After Close,5.3,Basic Materials,Specialty Chemicals
ALK,"1,789,870",39.36,-,-,2023-07-25,Before Market Open,3.6,Industrials,Airlines
ALKS,"1,732,730",29.85,-,-,2023-07-26,Before Market Open,5,Healthcare,Drug Manufacturers - Specialty & Generic
ALL,"1,824,520",110.55,-,-,2023-08-01,After Close,3.3,Financial,Insurance - Property & Casualty
ALLE,"813,160",106.31,-,-,2023-07-26,Before Market Open,3.8,Industrials,Security & Protection Services
ALLY,"3,964,130",28.50,-,-,2023-07-19,Before Market Open,3.4,Financial,Credit Services
ALNY,"562,750",193.06,-,-,2023-08-03,Before Market Open,-,Healthcare,Biotechnology
ALSN,"654,200",59.85,-,-,2023-07-27,After Close,3.5,Consumer Cyclical,Auto Parts
AMAT,"5,585,470",144.57,-,-,2023-08-17,After Close,4.2,Technology,Semiconductor Equipment & Materials
AMBA,"588,890",58.60,-,-,2023-08-29,After Close,-,Technology,Semiconductor Equipment & Materials
AMCX,"438,000",11.63,-,-,2023-08-04,Before Market Open,-,Communication Services,Entertainment
AME,"875,270",152.86,-,-,2023-08-01,Before Market Open,2.6,Industrials,Specialty Industrial Machinery
AMGN,"2,534,960",262.30,-,-,2023-08-03,After Close,2.8,Healthcare,Drug Manufacturers - General
AMP,"439,670",349.80,-,-,2023-07-26,After Close,3.9,Financial,Asset Management
AMT,"2,122,360",181.08,-,-,2023-07-27,Before Market Open,1.7,Real Estate,REIT - Specialty
AMTD,"200,910",1.22,-,-,-,-,-,Financial,Asset Management
AMX,"2,035,000",18.29,-,-,2023-07-11,Before Market Open,-,Communication Services,Telecom Services
AMZN,"53,601,790",144.72,-,-,2023-08-03,After Close,7.1,Consumer Cyclical,Internet Retail
AN,"644,770",159.22,-,-,2023-07-21,Before Market Open,-,Consumer Cyclical,Auto & Truck Dealerships
ANF,"1,874,870",51.26,-,-,2023-08-23,Before Market Open,10.2,Consumer Cyclical,Apparel Retail
AON,"805,400",338.75,-,-,2023-07-28,Before Market Open,3.3,Financial,Insurance Brokers
AOS,"904,420",67.74,-,-,2023-07-27,Before Market Open,3.5,Industrials,Specialty Industrial Machinery
APA,"4,507,460",42.98,-,-,2023-08-02,After Close,3.3,Energy,Oil & Gas E&P
APD,"744,790",306.10,-,-,2023-08-03,Before Market Open,2.6,Basic Materials,Specialty Chemicals
APH,"2,207,170",86.51,-,-,2023-07-26,Before Market Open,3.6,Technology,Electronic Components
APLE,"1,705,800",15.87,-,-,2023-08-03,After Close,-,Real Estate,REIT - Hotel & Motel
APO,"2,309,430",91.17,-,-,2023-08-03,Before Market Open,2.6,Financial,Asset Management
AR,"5,079,770",27.34,-,-,2023-07-26,After Close,4,Energy,Oil & Gas E&P
ARMK,"3,471,250",37.33,-,-,2023-08-08,Before Market Open,3.8,Industrials,Specialty Business Services
ASB,"1,421,750",17.67,-,-,2023-07-20,After Close,2.4,Financial,Banks - Regional
ASML,"1,024,270",621.90,-,-,2023-07-19,Before Market Open,3.3,Technology,Semiconductor Equipment & Materials
ATHM,"374,520",29.59,-,-,2023-07-27,Before Market Open,-,Communication Services,Internet Content & Information
ATI,"1,023,290",45.10,-,-,2023-08-02,Before Market Open,6,Industrials,Metal Fabrication
ATVI,"10,628,080",92.22,-,-,2023-07-19,Before Market Open,5.1,Communication Services,Electronic Gaming & Multimedia
AU,"2,243,880",17.43,-,-,2023-08-04,Before Market Open,5.4,Basic Materials,Gold
AVB,"656,500",183.46,-,-,2023-07-31,After Close,1.8,Real Estate,REIT - Residential
AVGO,"2,449,060",871.64,-,-,2023-08-31,After Close,4.6,Technology,Semiconductors
AVT,"654,070",48.36,-,-,2023-08-16,After Close,2.8,Technology,Electronics & Computer Distribution
AVXL,"838,060",7.95,-,-,2023-08-08,Before Market Open,6.2,Healthcare,Biotechnology
AVY,"507,180",182.91,-,-,2023-07-25,Before Market Open,-,Consumer Cyclical,Packaging & Containers
AWH,"74,800",6.06,-,-,2023-08-14,After Close,7,Healthcare,Diagnostics & Research
AWK,"938,690",140.98,-,-,2023-07-26,After Close,-,Utilities,Utilities - Regulated Water
AXL,"1,289,490",7.58,-,-,2023-08-04,Before Market Open,10,Consumer Cyclical,Auto Parts
AXP,"2,762,380",161.78,-,-,2023-07-21,Before Market Open,3.2,Financial,Credit Services
AXTA,"2,233,450",27.18,-,-,2023-08-01,After Close,2.1,Basic Materials,Specialty Chemicals
AZN,"5,213,310",67.78,-,-,2023-07-28,Before Market Open,3,Healthcare,Drug Manufacturers - General
AZPN,"228,250",199.79,-,-,2023-08-01,After Close,-,Technology,Software - Application
BA,"5,195,780",209.05,-,-,2023-07-26,Before Market Open,3.1,Industrials,Aerospace & Defense
BABA,"17,656,280",88.00,-,-,2023-08-10,Before Market Open,3.3,Consumer Cyclical,Internet Retail
BAC,"42,197,130",29.20,-,-,2023-07-18,Before Market Open,2.1,Financial,Banks - Diversified
BAH,"780,990",113.09,-,-,2023-07-28,Before Market Open,4.9,Industrials,Consulting Services
BAM,"1,033,060",35.82,-,-,2023-08-09,Before Market Open,2.1,Financial,Asset Management
BAX,"4,531,680",39.15,-,-,2023-07-27,Before Market Open,2.8,Healthcare,Medical Instruments & Supplies
BBY,"2,247,600",73.45,-,-,2023-08-29,Before Market Open,7.4,Consumer Cyclical,Specialty Retail
BC,"639,720",77.85,-,-,2023-07-27,Before Market Open,-,Consumer Cyclical,Recreational Vehicles
BCE,"1,340,200",40.99,-,-,2023-08-03,Before Market Open,1.4,Communication Services,Telecom Services
BCRX,"2,603,320",6.92,-,-,2023-08-03,Before Market Open,6,Healthcare,Biotechnology
BDX,"1,209,050",264.62,-,-,2023-08-03,Before Market Open,3,Healthcare,Medical Instruments & Supplies
BEN,"2,967,030",26.22,-,-,2023-07-28,Before Market Open,2.8,Financial,Asset Management
BERY,"1,308,270",64.32,-,-,2023-08-09,Before Market Open,5.5,Consumer Cyclical,Packaging & Containers
BG,"1,212,800",115.30,-,-,2023-08-02,Before Market Open,5.1,Consumer Defensive,Farm Products
BHP,"2,528,860",58.40,-,-,2023-09-04,After Close,-,Basic Materials,Other Industrial Metals & Mining
BIDU,"2,070,280",137.04,-,-,2023-08-22,Before Market Open,6.8,Communication Services,Internet Content & Information
BIG,"2,031,780",5.44,-,-,2023-08-29,Before Market Open,8.8,Consumer Defensive,Discount Stores
BIIB,"1,043,930",256.32,-,-,2023-07-25,Before Market Open,3.8,Healthcare,Drug Manufacturers - General
BK,"4,456,060",45.82,-,-,2023-07-18,Before Market Open,3.4,Financial,Asset Management
BKD,"1,103,790",4.01,-,-,2023-08-07,After Close,-,Healthcare,Medical Care Facilities
BKH,"587,990",55.79,-,-,2023-08-02,After Close,-,Utilities,Utilities - Diversified
BKU,"834,980",24.76,-,-,2023-07-25,Before Market Open,-,Financial,Banks - Regional
BLDR,"1,680,470",134.26,-,-,2023-08-02,Before Market Open,6.5,Industrials,Building Products & Equipment
BLK,"543,500",706.81,-,-,2023-07-14,Before Market Open,-,Financial,Asset Management
BLMN,"1,646,270",27.10,-,-,2023-08-01,Before Market Open,6.3,Consumer Cyclical,Restaurants
BLUE,"4,142,970",3.33,-,-,2023-08-08,Before Market Open,6.1,Healthcare,Biotechnology
BMO,"558,520",88.07,-,-,2023-08-29,Before Market Open,-,Financial,Banks - Diversified
BMRN,"1,277,160",87.68,-,-,2023-07-31,After Close,3.5,Healthcare,Biotechnology
BMY,"10,420,660",59.49,-,-,2023-07-27,Before Market Open,2.5,Healthcare,Drug Manufacturers - General
BNS,"1,373,430",48.23,-,-,2023-08-29,Before Market Open,1.9,Financial,Banks - Diversified
BOX,"1,506,760",25.30,-,-,2023-08-29,After Close,6.3,Technology,Software - Infrastructure
BP,"7,375,250",39.10,-,-,2023-08-01,Before Market Open,3,Energy,Oil & Gas Integrated
BPOP,"401,030",64.09,-,-,2023-07-26,Before Market Open,-,Financial,Banks - Regional
BR,"475,370",188.03,-,-,2023-08-08,Before Market Open,-,Technology,Information Technology Services
BRKR,"872,930",67.45,-,-,2023-08-03,Before Market Open,-,Healthcare,Medical Devices
BRX,"2,080,420",22.99,-,-,2023-07-31,After Close,1.7,Real Estate,REIT - Retail
BSX,"7,071,240",52.92,-,-,2023-07-27,Before Market Open,2.9,Healthcare,Medical Devices
BTU,"2,973,480",24.19,-,-,2023-07-27,Before Market Open,-,Energy,Thermal Coal
BUD,"2,038,260",56.85,-,-,2023-08-03,Before Market Open,-,Consumer Defensive,Beverages - Brewers
BURL,"1,242,650",150.68,-,-,2023-08-24,Before Market Open,-,Consumer Cyclical,Apparel Retail
BWA,"2,314,990",40.34,-,-,2023-08-02,Before Market Open,3.1,Consumer Cyclical,Auto Parts
BWXT,"859,360",74.34,-,-,2023-08-03,After Close,-,Industrials,Aerospace & Defense
BX,"4,219,890",112.71,-,-,2023-07-20,Before Market Open,3.1,Financial,Asset Management
BXP,"1,584,930",66.24,-,-,2023-08-01,After Close,-,Real Estate,REIT - Office
BYD,"753,220",64.95,-,-,2023-07-27,After Close,4.6,Consumer Cyclical,Resorts & Casinos
BZH,"499,610",27.56,-,-,2023-07-27,After Close,-,Consumer Cyclical,Residential Construction
C,"16,356,800",43.14,-,-,2023-07-14,Before Market Open,2.8,Financial,Banks - Diversified
CAG,"3,916,780",29.06,-,-,2023-10-05,Before Market Open,4.7,Consumer Defensive,Packaged Foods
CAH,"2,288,880",87.70,-,-,2023-08-15,Before Market Open,4,Healthcare,Medical Distribution
CALM,"770,030",46.33,-,-,2023-07-25,After Close,-,Consumer Defensive,Farm Products
CAR,"521,040",201.48,-,-,2023-07-31,After Close,7.9,Industrials,Rental & Leasing Services
CAT,"2,630,720",282.56,-,-,2023-08-01,Before Market Open,3.8,Industrials,Farm & Heavy Construction Machinery
CB,"1,742,530",211.98,-,-,2023-07-25,After Close,-,Financial,Insurance - Property & Casualty
CBD,"3,656,480",0.91,-,-,2023-07-26,Before Market Open,-,Consumer Cyclical,Department Stores
CCI,"3,172,990",98.63,-,-,2023-07-19,After Close,2.6,Real Estate,REIT - Specialty
CCJ,"3,961,530",39.89,-,-,2023-08-02,Before Market Open,4.8,Energy,Uranium
CCK,"1,360,410",91.93,-,-,2023-07-24,After Close,-,Consumer Cyclical,Packaging & Containers
CCL,"34,936,360",15.63,-,-,2023-06-26,Before Market Open,4.3,Consumer Cyclical,Travel Services
CDNS,"1,685,630",242.82,-,-,2023-07-24,After Close,4.4,Technology,Software - Application
CDW,"643,880",209.79,-,-,2023-08-02,Before Market Open,3.6,Technology,Information Technology Services
CE,"1,302,240",128.88,-,-,2023-08-07,After Close,-,Basic Materials,Chemicals
CENX,"1,136,300",7.59,-,-,2023-08-09,After Close,7.2,Basic Materials,Aluminum
CEQP,"497,230",28.59,-,-,2023-08-01,Before Market Open,-,Energy,Oil & Gas Midstream
CF,"2,303,580",83.96,-,-,2023-08-02,After Close,4.1,Basic Materials,Agricultural Inputs
CFG,"5,872,620",28.27,-,-,2023-07-19,Before Market Open,3.1,Financial,Banks - Regional
CFR,"525,650",96.11,-,-,2023-07-27,Before Market Open,-,Financial,Banks - Regional
CG,"2,336,370",32.68,-,-,2023-08-02,Before Market Open,-,Financial,Asset Management
CHD,"1,358,770",95.60,-,-,2023-07-28,Before Market Open,3.3,Consumer Defensive,Household & Personal Products
CHKP,"819,300",135.84,-,-,2023-07-26,Before Market Open,3.9,Technology,Software - Infrastructure
CHRW,"938,290",89.89,-,-,2023-08-02,After Close,5.3,Industrials,Integrated Freight & Logistics
CHTR,"1,278,910",449.37,-,-,2023-07-28,Before Market Open,4.8,Communication Services,Telecom Services
CI,"1,406,780",283.31,-,-,2023-08-03,Before Market Open,3,Healthcare,Healthcare Plans
CIEN,"1,802,830",49.08,-,-,2023-08-31,Before Market Open,9.7,Technology,Communication Equipment
CL,"4,414,380",73.46,-,-,2023-07-28,Before Market Open,2.5,Consumer Defensive,Household & Personal Products
CLDX,"450,750",28.22,-,-,2023-08-08,After Close,-,Healthcare,Biotechnology
CLX,"1,154,370",149.45,-,-,2023-08-02,After Close,3.1,Consumer Defensive,Household & Personal Products
CMA,"2,257,490",43.83,-,-,2023-07-21,Before Market Open,3.4,Financial,Banks - Regional
CMC,"812,510",53.28,-,-,2023-06-22,Before Market Open,5,Basic Materials,Steel
CMCM,"26,310",2.09,-,-,-,-,-,Communication Services,Internet Content & Information
CMCSA,"17,411,990",45.97,-,-,2023-07-27,Before Market Open,2.9,Communication Services,Telecom Services
CME,"1,417,920",207.81,-,-,2023-07-26,Before Market Open,2.6,Financial,Financial Data & Stock Exchanges
CMG,"274,230","1,936.12",-,-,2023-07-26,After Close,-,Consumer Cyclical,Restaurants
CMI,"883,480",237.04,-,-,2023-08-03,Before Market Open,4.1,Industrials,Specialty Industrial Machinery
CMRX,"969,810",1.06,-,-,2023-08-03,Before Market Open,5,Healthcare,Biotechnology
CMS,"1,680,100",57.25,-,-,2023-07-27,Before Market Open,1,Utilities,Utilities - Regulated Electric
CNC,"3,382,120",67.61,-,-,2023-07-28,Before Market Open,4,Healthcare,Healthcare Plans
CNI,"1,117,820",115.46,-,-,2023-07-25,After Close,2.2,Industrials,Railroads
CNK,"2,665,180",16.52,-,-,2023-08-04,Before Market Open,3,Communication Services,Entertainment
CNO,"600,940",23.88,-,-,2023-07-31,After Close,4.3,Financial,Insurance - Life
CNP,"3,816,160",28.98,-,-,2023-07-27,Before Market Open,-,Utilities,Utilities - Regulated Electric
CNQ,"1,987,240",64.67,-,-,2023-08-03,Before Market Open,2.7,Energy,Oil & Gas E&P
CNX,"2,830,000",22.16,-,-,2023-07-27,Before Market Open,5.9,Energy,Oil & Gas E&P
COF,"2,283,370",102.26,-,-,2023-07-20,After Close,3.8,Financial,Credit Services
COMM,"3,265,680",3.65,-,-,2023-08-03,Before Market Open,9.9,Technology,Communication Equipment
CONN,"175,570",3.84,-,-,2023-08-30,Before Market Open,-,Consumer Cyclical,Specialty Retail
COP,"4,757,900",124.50,-,-,2023-08-03,Before Market Open,-,Energy,Oil & Gas E&P
COST,"1,576,280",564.77,-,-,2023-09-26,After Close,-,Consumer Defensive,Discount Stores
COTY,"4,086,440",11.48,-,-,2023-08-22,Before Market Open,-,Consumer Defensive,Household & Personal Products
CP,"2,086,410",79.90,-,-,2023-07-27,After Close,-,Industrials,Railroads
CPB,"2,592,770",43.49,-,-,2023-08-31,Before Market Open,5.1,Consumer Defensive,Packaged Foods
CPE,"1,623,600",39.57,-,-,2023-08-02,After Close,5.2,Energy,Oil & Gas E&P
CPG,"3,135,910",8.54,-,-,2023-07-26,Before Market Open,-,Energy,Oil & Gas E&P
CPRT,"4,044,920",44.85,-,-,2023-09-14,After Close,4.6,Industrials,Specialty Business Services
CRM,"5,461,030",218.78,-,-,2023-08-30,After Close,6.3,Technology,Software - Application
CROX,"1,848,770",90.72,-,-,2023-07-27,Before Market Open,11.9,Consumer Cyclical,Footwear & Accessories
CRUS,"500,740",73.40,-,-,2023-08-03,After Close,-,Technology,Semiconductors
CSCO,"18,041,580",56.37,-,-,2023-08-16,After Close,-,Technology,Communication Equipment
CSIQ,"1,226,720",27.86,-,-,2023-08-22,Before Market Open,-,Technology,Solar
CSTM,"594,830",17.77,-,-,2023-07-26,Before Market Open,9.2,Basic Materials,Aluminum
CSX,"12,889,320",31.04,-,-,2023-07-20,Before Market Open,3.5,Industrials,Railroads
CTSH,"3,488,800",70.97,-,-,2023-08-02,After Close,5.3,Technology,Information Technology Services
CUBE,"1,622,610",40.66,-,-,2023-08-03,After Close,2.9,Real Estate,REIT - Industrial
CVE,"6,720,430",20.83,-,-,2023-07-27,Before Market Open,-,Energy,Oil & Gas Integrated
CVS,"9,506,780",69.95,-,-,2023-08-02,Before Market Open,-,Healthcare,Healthcare Plans
CVX,"7,511,080",167.23,-,-,2023-07-28,Before Market Open,1.7,Energy,Oil & Gas Integrated
CXW,"628,830",10.34,-,-,2023-08-07,After Close,3.3,Industrials,Security & Protection Services
CYBR,"342,520",171.59,-,-,2023-08-10,Before Market Open,-,Technology,Software - Infrastructure
CYH,"1,352,820",3.16,-,-,2023-08-02,After Close,8.1,Healthcare,Medical Care Facilities
D,"4,181,860",48.51,-,-,2023-08-04,Before Market Open,1.4,Utilities,Utilities - Regulated Electric
DAL,"9,758,050",39.33,-,-,2023-07-13,Before Market Open,2.5,Industrials,Airlines
DAN,"1,656,910",15.33,-,-,2023-07-28,Before Market Open,-,Consumer Cyclical,Auto Parts
DB,"2,282,790",11.01,-,-,2023-07-26,Before Market Open,-,Financial,Banks - Regional
DCI,"431,360",61.89,-,-,2023-08-29,Before Market Open,-,Industrials,Specialty Industrial Machinery
DD,"2,731,390",75.17,-,-,2023-08-02,Before Market Open,2.2,Basic Materials,Specialty Chemicals
DDD,"2,210,100",5.31,-,-,2023-08-09,Before Market Open,12.8,Technology,Computer Hardware
DE,"1,464,030",411.68,-,-,2023-08-18,Before Market Open,4.1,Industrials,Farm & Heavy Construction Machinery
DECK,"354,890",536.91,-,-,2023-07-27,After Close,-,Consumer Cyclical,Footwear & Accessories
DEI,"3,129,660",13.37,-,-,2023-08-01,After Close,-,Real Estate,REIT - Office
DFS,"2,478,480",90.08,-,-,2023-07-19,After Close,4,Financial,Credit Services
DG,"3,259,940",117.79,-,-,2023-08-31,Before Market Open,5,Consumer Defensive,Discount Stores
DGX,"808,130",127.35,-,-,2023-07-26,Before Market Open,3.5,Healthcare,Diagnostics & Research
DHI,"2,985,810",115.20,-,-,2023-07-20,Before Market Open,4.8,Consumer Cyclical,Residential Construction
DHR,"2,760,360",253.48,-,-,2023-07-25,Before Market Open,2.4,Healthcare,Diagnostics & Research
DIS,"16,109,730",84.48,-,-,2023-08-09,After Close,2.8,Communication Services,Entertainment
DISH,"11,292,800",6.82,-,-,2023-08-08,Before Market Open,-,Communication Services,Telecom Services
DK,"1,278,670",30.27,-,-,2023-08-07,Before Market Open,5,Energy,Oil & Gas Refining & Marketing
DKS,"1,672,210",114.14,-,-,2023-08-22,Before Market Open,7,Consumer Cyclical,Specialty Retail
DLR,"2,540,280",128.48,-,-,2023-07-27,After Close,2.7,Real Estate,REIT - Specialty
DLTR,"2,202,840",113.34,-,-,2023-08-24,Before Market Open,5.7,Consumer Defensive,Discount Stores
DNOW,"666,520",11.71,-,-,2023-08-02,Before Market Open,-,Energy,Oil & Gas Equipment & Services
DO,"1,310,170",16.16,-,-,2023-08-07,After Close,-,Energy,Oil & Gas Drilling
DOV,"832,920",144.16,-,-,2023-07-25,Before Market Open,2.8,Industrials,Specialty Industrial Machinery
DOW,"4,340,650",54.04,-,-,2023-07-25,Before Market Open,3.4,Basic Materials,Chemicals
DOX,"568,230",87.78,-,-,2023-08-02,After Close,-,Technology,Software - Infrastructure
DRI,"1,158,300",151.82,-,-,2023-09-21,Before Market Open,5.4,Consumer Cyclical,Restaurants
DTE,"1,190,270",106.74,-,-,2023-07-27,Before Market Open,1.5,Utilities,Utilities - Regulated Electric
DUK,"2,920,230",95.45,-,-,2023-08-08,Before Market Open,1.2,Utilities,Utilities - Regulated Electric
DV,"1,790,520",28.92,-,-,2023-07-31,After Close,-,Technology,Software - Application
DVA,"677,380",98.39,-,-,2023-08-03,After Close,-,Healthcare,Medical Care Facilities
DVAX,"1,801,610",14.13,-,-,2023-08-03,After Close,6.1,Healthcare,Drug Manufacturers - Specialty & Generic
DVN,"8,018,590",50.93,-,-,2023-08-01,After Close,3.7,Energy,Oil & Gas E&P
DXCM,"3,460,530",101.55,-,-,2023-07-27,After Close,8.3,Healthcare,Medical Devices
DY,"304,840",97.69,-,-,2023-08-23,Before Market Open,-,Industrials,Engineering & Construction
DYN,"506,640",9.34,-,-,2023-08-03,Before Market Open,-,Healthcare,Biotechnology
EA,"2,213,690",123.04,-,-,2023-08-01,After Close,5.7,Communication Services,Electronic Gaming & Multimedia
EAT,"974,760",32.36,-,-,2023-08-16,Before Market Open,6.7,Consumer Cyclical,Restaurants
EBAY,"5,126,140",44.36,-,-,2023-07-26,After Close,6.1,Consumer Cyclical,Internet Retail
ECL,"1,033,850",177.67,-,-,2023-08-01,Before Market Open,2.4,Basic Materials,Specialty Chemicals
ED,"1,756,510",92.38,-,-,2023-08-03,After Close,-,Utilities,Utilities - Regulated Electric
EDU,"1,610,940",58.70,-,-,2023-07-26,Before Market Open,6,Consumer Defensive,Education & Training Services
EFX,"910,250",199.70,-,-,2023-07-19,After Close,-,Industrials,Consulting Services
EGHT,"1,865,880",2.62,-,-,2023-08-08,After Close,-,Technology,Software - Application
EIX,"1,405,830",71.52,-,-,2023-07-27,After Close,2.2,Utilities,Utilities - Regulated Electric
EL,"2,521,300",154.24,-,-,2023-08-18,Before Market Open,-,Consumer Defensive,Household & Personal Products
EMN,"893,410",79.63,-,-,2023-07-27,After Close,3.7,Basic Materials,Specialty Chemicals
EMR,"2,649,290",98.60,-,-,2023-08-02,Before Market Open,-,Industrials,Specialty Industrial Machinery
ENB,"5,036,610",35.32,-,-,2023-08-04,Before Market Open,1.9,Energy,Oil & Gas Midstream
ENR,"526,880",34.39,-,-,2023-08-08,Before Market Open,-,Industrials,Electrical Equipment & Parts
EOG,"2,867,940",134.66,-,-,2023-08-03,After Close,3.4,Energy,Oil & Gas E&P
EPD,"3,917,400",27.09,-,-,2023-08-01,Before Market Open,-,Energy,Oil & Gas Midstream
EQIX,"395,660",782.17,-,-,2023-08-02,After Close,-,Real Estate,REIT - Specialty
EQR,"1,637,300",63.21,-,-,2023-07-27,After Close,1.7,Real Estate,REIT - Residential
EQT,"5,553,250",42.59,-,-,2023-07-25,After Close,4.3,Energy,Oil & Gas E&P
ERJ,"1,381,110",14.58,-,-,2023-08-14,Before Market Open,4,Industrials,Aerospace & Defense
ES,"2,081,010",64.44,-,-,2023-07-31,After Close,1,Utilities,Utilities - Regulated Electric
ETN,"2,089,570",222.15,-,-,2023-08-01,Before Market Open,2.9,Industrials,Specialty Industrial Machinery
ETR,"1,664,830",98.75,-,-,2023-08-02,Before Market Open,1.7,Utilities,Utilities - Regulated Electric
ETSY,"3,249,250",66.68,-,-,2023-08-02,After Close,10.6,Consumer Cyclical,Internet Retail
EURN,"1,036,470",15.49,-,-,2023-08-03,Before Market Open,-,Energy,Oil & Gas Midstream
EW,"3,206,190",74.02,-,-,2023-07-26,After Close,5.2,Healthcare,Medical Devices
EWBC,"930,630",54.89,-,-,2023-07-20,Before Market Open,4.9,Financial,Banks - Diversified
EXAS,"1,474,640",77.38,-,-,2023-08-01,After Close,8.3,Healthcare,Diagnostics & Research
EXC,"5,146,440",41.84,-,-,2023-08-02,Before Market Open,1.7,Utilities,Utilities - Regulated Electric
EXP,"324,920",177.96,-,-,2023-07-27,Before Market Open,-,Basic Materials,Building Materials
EXPD,"972,130",118.34,-,-,2023-08-08,Before Market Open,-,Industrials,Integrated Freight & Logistics
EXPE,"2,506,410",106.93,-,-,2023-08-03,Before Market Open,7.8,Consumer Cyclical,Travel Services
EXPR,"70,740",8.99,-,-,2023-09-06,Before Market Open,11.3,Consumer Cyclical,Apparel Retail
EXR,"1,977,860",126.21,-,-,2023-08-03,After Close,2.7,Real Estate,REIT - Industrial
FAF,"499,310",60.41,-,-,2023-07-27,Before Market Open,3,Financial,Insurance - Specialty
FANG,"1,944,800",157.92,-,-,2023-07-31,After Close,-,Energy,Oil & Gas E&P
FAST,"3,052,500",54.82,-,-,2023-07-13,Before Market Open,4.8,Industrials,Industrial Distribution
FCX,"10,614,980",40.68,-,-,2023-07-20,Before Market Open,4.3,Basic Materials,Copper
FDX,"1,985,270",257.03,-,-,2023-09-20,After Close,4.6,Industrials,Integrated Freight & Logistics
FE,"2,963,900",36.89,-,-,2023-08-01,After Close,2.1,Utilities,Utilities - Regulated Electric
FET,"75,060",24.90,-,-,2023-08-03,After Close,-,Energy,Oil & Gas Equipment & Services
FFIV,"519,730",160.72,-,-,2023-07-24,After Close,-,Technology,Software - Infrastructure
FIS,"4,402,830",56.38,-,-,2023-08-02,Before Market Open,3.5,Technology,Information Technology Services
FITB,"5,179,100",27.52,-,-,2023-07-20,Before Market Open,-,Financial,Banks - Regional
FIVE,"677,310",160.80,-,-,2023-08-30,After Close,6.5,Consumer Cyclical,Specialty Retail
FL,"4,375,650",18.49,-,-,2023-08-23,Before Market Open,8,Consumer Cyclical,Apparel Retail
FLO,"1,768,090",23.11,-,-,2023-08-10,After Close,-,Consumer Defensive,Packaged Foods
FLR,"1,802,740",35.59,-,-,2023-08-04,Before Market Open,6.1,Industrials,Engineering & Construction
FLS,"900,860",39.03,-,-,2023-08-01,After Close,5,Industrials,Specialty Industrial Machinery
FLT,"433,680",273.67,-,-,2023-08-08,After Close,-,Technology,Software - Infrastructure
FMC,"1,555,060",75.61,-,-,2023-08-02,After Close,-,Basic Materials,Agricultural Inputs
FNF,"1,386,390",42.29,-,-,2023-08-08,After Close,2.3,Financial,Insurance - Specialty
FNV,"415,980",142.07,-,-,2023-08-08,After Close,2.6,Basic Materials,Gold
FOLD,"2,263,930",13.11,-,-,2023-08-08,Before Market Open,-,Healthcare,Biotechnology
FOSL,"416,060",2.26,-,-,2023-08-09,After Close,14.4,Consumer Cyclical,Luxury Goods
FOX,"984,920",29.52,-,-,2023-08-08,Before Market Open,3.1,Communication Services,Entertainment
FOXA,"4,168,860",32.03,-,-,2023-08-08,Before Market Open,4.1,Communication Services,Entertainment
FR,"929,670",51.54,-,-,2023-07-19,After Close,1.3,Real Estate,REIT - Industrial
FSLR,"1,981,730",177.00,-,-,2023-07-27,After Close,10.3,Technology,Solar
FTI,"6,583,400",20.79,-,-,2023-07-27,Before Market Open,-,Energy,Oil & Gas Equipment & Services
