Stock,Avg V,Price,Call,Call time,Earnings Date,Earnings Time,Avg ch %,Sector,Industry
RES,"1,484,330",8.91,-,-,2023-07-26,Before Market Open,-,Energy,Oil & Gas Equipment & Services
RGC,"2,680",12.18,-,-,-,-,-,Healthcare,Drug Manufacturers - Specialty & Generic
RGLD,"403,580",110.62,-,-,2023-08-02,After Close,-,Basic Materials,Gold
RH,"834,940",307.25,-,-,2023-09-07,After Close,-,Consumer Cyclical,Specialty Retail
RHI,"976,830",74.65,-,-,2023-07-25,After Close,5.7,Industrials,Staffing & Employment Services
RIG,"15,064,210",8.66,-,-,2023-07-31,After Close,-,Energy,Oil & Gas Drilling
RIO,"2,828,410",66.03,-,-,2023-07-26,Before Market Open,-,Basic Materials,Other Industrial Metals & Mining
RJF,"841,930",108.66,-,-,2023-07-26,After Close,3.7,Financial,Capital Markets
RL,"882,130",115.04,-,-,2023-08-10,Before Market Open,5.8,Consumer Cyclical,Apparel Manufacturing
RLJ,"2,028,580",9.83,-,-,2023-08-03,After Close,2.5,Real Estate,REIT - Hotel & Motel
RMD,"1,197,720",147.64,-,-,2023-08-03,After Close,-,Healthcare,Medical Instruments & Supplies
ROK,"768,570",287.08,-,-,2023-08-01,Before Market Open,-,Industrials,Specialty Industrial Machinery
ROKU,"8,543,080",77.80,-,-,2023-07-27,After Close,17.5,Communication Services,Entertainment
ROST,"2,313,660",117.80,-,-,2023-08-17,After Close,3.3,Consumer Cyclical,Apparel Retail
RPM,"615,250",96.54,-,-,2023-10-04,Before Market Open,-,Basic Materials,Specialty Chemicals
RRC,"2,748,720",33.26,-,-,2023-07-24,After Close,-,Energy,Oil & Gas E&P
RSG,"1,057,970",150.44,-,-,2023-07-31,After Close,2.4,Industrials,Waste Management
RUN,"9,098,970",15.50,-,-,2023-08-02,After Close,6.5,Technology,Solar
RY,"890,760",91.31,-,-,2023-08-24,Before Market Open,1.4,Financial,Banks - Diversified
SABR,"6,646,150",4.76,-,-,2023-08-03,Before Market Open,5.8,Consumer Cyclical,Travel Services
SANM,"327,360",53.20,-,-,2023-07-31,After Close,-,Technology,Electronic Components
SAP,"873,500",135.99,-,-,2023-07-20,Before Market Open,3,Technology,Software - Application
SAVE,"1,507,340",16.59,-,-,2023-08-03,Before Market Open,5.7,Industrials,Airlines
SBAC,"935,890",218.82,-,-,2023-07-31,After Close,2.7,Real Estate,REIT - Specialty
SBGI,"693,650",13.62,-,-,2023-08-02,After Close,4.2,Communication Services,Entertainment
SBH,"1,648,490",9.50,-,-,2023-08-03,Before Market Open,9,Consumer Cyclical,Specialty Retail
SBUX,"6,202,270",97.16,-,-,2023-08-01,After Close,-,Consumer Cyclical,Restaurants
SCCO,"1,043,890",80.21,-,-,2023-07-27,After Close,2.8,Basic Materials,Copper
SCHW,"10,406,010",59.76,-,-,2023-07-18,Before Market Open,2.7,Financial,Capital Markets
SCI,"954,890",61.60,-,-,2023-08-01,After Close,-,Consumer Cyclical,Personal Services
SE,"6,569,980",39.89,-,-,2023-08-15,Before Market Open,8.4,Consumer Cyclical,Internet Retail
SEAS,"823,020",49.86,-,-,2023-08-08,Before Market Open,6.4,Consumer Cyclical,Leisure
SEDG,"1,574,740",144.76,-,-,2023-08-01,After Close,13.2,Technology,Solar
SEE,"1,908,980",35.41,-,-,2023-08-08,Before Market Open,5,Consumer Cyclical,Packaging & Containers
SEIC,"529,680",61.05,-,-,2023-07-26,After Close,-,Financial,Asset Management
SEM,"539,080",26.35,-,-,2023-08-03,After Close,-,Healthcare,Medical Care Facilities
SFL,"905,850",10.93,-,-,2023-08-17,Before Market Open,-,Industrials,Marine Shipping
SFM,"1,464,370",40.59,-,-,2023-08-01,After Close,5.3,Consumer Defensive,Grocery Stores
SGEN,"1,145,790",206.50,-,-,2023-08-02,Before Market Open,4.9,Healthcare,Biotechnology
SGMO,"1,835,920",1.00,-,-,2023-08-08,After Close,12.2,Healthcare,Biotechnology
SHW,"1,394,460",268.07,-,-,2023-07-25,Before Market Open,4.2,Basic Materials,Specialty Chemicals
SIG,"783,860",77.75,-,-,2023-08-31,Before Market Open,-,Consumer Cyclical,Luxury Goods
SJM,"987,050",127.42,-,-,2023-08-29,Before Market Open,4.5,Consumer Defensive,Packaged Foods
SKT,"780,890",23.72,-,-,2023-08-03,After Close,3.2,Real Estate,REIT - Retail
SKX,"1,872,390",47.44,-,-,2023-07-27,After Close,10.9,Consumer Cyclical,Footwear & Accessories
SLB,"9,346,880",61.60,-,-,2023-07-21,Before Market Open,-,Energy,Oil & Gas Equipment & Services
SLCA,"734,860",14.36,-,-,2023-07-27,After Close,9.2,Energy,Oil & Gas Equipment & Services
SLG,"2,228,110",40.42,-,-,2023-07-19,After Close,1.8,Real Estate,REIT - Office
SM,"1,647,330",40.35,-,-,2023-08-02,After Close,6,Energy,Oil & Gas E&P
SNPS,"869,770",466.15,-,-,2023-08-16,After Close,4.2,Technology,Software - Infrastructure
SNV,"1,307,850",30.28,-,-,2023-07-20,Before Market Open,3.3,Financial,Banks - Regional
SNY,"1,235,250",54.55,-,-,2023-07-28,Before Market Open,2.4,Healthcare,Drug Manufacturers - General
SO,"3,733,530",70.90,-,-,2023-08-03,Before Market Open,1.4,Utilities,Utilities - Regulated Electric
SPG,"1,447,060",117.38,-,-,2023-08-02,After Close,1.9,Real Estate,REIT - Retail
SPLK,"1,623,530",122.15,-,-,2023-08-23,After Close,8.3,Technology,Software - Infrastructure
SPR,"3,389,130",16.38,-,-,2023-08-02,Before Market Open,5.2,Industrials,Aerospace & Defense
SPWR,"6,186,890",7.28,-,-,2023-08-01,Before Market Open,8.7,Technology,Solar
SPXC,"222,470",79.82,-,-,2023-08-02,After Close,-,Industrials,Specialty Industrial Machinery
SQ,"9,391,700",53.85,-,-,2023-08-03,After Close,7.8,Technology,Software - Infrastructure
SRCL,"431,340",45.28,-,-,2023-07-27,Before Market Open,-,Industrials,Waste Management
SRE,"2,171,040",73.53,-,-,2023-08-03,Before Market Open,1.7,Utilities,Utilities - Diversified
SRPT,"1,073,760",119.72,-,-,2023-08-02,After Close,7.6,Healthcare,Biotechnology
SSNC,"1,040,890",55.50,-,-,2023-07-27,After Close,-,Technology,Software - Application
SSYS,"1,068,300",12.59,-,-,2023-08-09,Before Market Open,7.2,Technology,Computer Hardware
